house,appliance_label,appliance_type,product_category,refit_column,current_avg_kwh_day,current_annual_kwh_est,current_cost_month_aud,current_cost_year_aud,recommended_store,recommended_product,recommended_brand,recommended_price_aud,recommended_annual_kwh,recommended_cost_month_aud,estimated_energy_saving_kwh_year,estimated_monthly_saving_aud,estimated_annual_saving_aud,payback_months,saving_score,energy_efficiency_score,affordability_score,payback_score,product_match_score,energy_rating,option_type,suitability_note,replacement_priority,product_recommendation,product_category_intel,benchmark_avg_kwh_day,benchmark_median_kwh_day,benchmark_avg_cost_month_aud,usage_percentile_vs_similar_houses,above_similar_house_avg_pct,intelligent_efficiency_class,recommendation_reason_codes,intelligent_recommendation_summary,balanced_intelligent_score,budget_user_score,eco_user_score,fast_payback_score,explainable_product_reason
1,Chest Freezer,Chest Freezer,freezer,Appliance2,0.13465,49.15,1.21,14.74,Kmart,Freezer Timer Reminder Plug,Generic,19.0,300.0,7.5,0.0,0.0,0.0,,0.0,0.0,0.9294,0.0,0.1394,Control,Cheapest,"Useful for monitoring, not replacing cold storage.",low,Consider Freezer Timer Reminder Plug from Kmart for Chest Freezer. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,freezer,1.02615,0.92847,9.235384615384616,15.4,-86.9,Average,peak-hour usage,"Chest Freezer is classified as Average. It is 86.9% below the REFIT similar-appliance average, with 863 detected events and 31.5% peak-hour activity.",0.2441,0.4896,0.0517,0.2823,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Chest Freezer,Chest Freezer,freezer,Appliance2,0.13465,49.15,1.21,14.74,Kmart,Smart Plug With Timer,Generic,19.0,80.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.9294,0.0,0.1394,Control,Cheapest,Low-cost way to reduce standby and schedule usage.,low,Consider Smart Plug With Timer from Kmart for Chest Freezer. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,freezer,1.02615,0.92847,9.235384615384616,15.4,-86.9,Average,peak-hour usage,"Chest Freezer is classified as Average. It is 86.9% below the REFIT similar-appliance average, with 863 detected events and 31.5% peak-hour activity.",0.2441,0.4896,0.0517,0.2823,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Chest Freezer,Chest Freezer,freezer,Appliance2,0.13465,49.15,1.21,14.74,Bunnings,Timer Plug / Standby Saver,Arlec,24.0,75.0,1.88,0.0,0.0,0.0,,0.0,0.0,0.9124,0.0,0.1369,Control,Best Value,Useful for appliance groups and plug loads.,low,Consider Timer Plug / Standby Saver from Bunnings for Chest Freezer. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,freezer,1.02615,0.92847,9.235384615384616,15.4,-86.9,Average,peak-hour usage,"Chest Freezer is classified as Average. It is 86.9% below the REFIT similar-appliance average, with 863 detected events and 31.5% peak-hour activity.",0.2407,0.482,0.0517,0.2797,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Chest Freezer,Chest Freezer,freezer,Appliance2,0.13465,49.15,1.21,14.74,JB Hi-Fi,Energy Monitoring Smart Plug,TP-Link Tapo,29.0,70.0,1.75,0.0,0.0,0.0,,0.0,0.0,0.8961,0.0,0.1344,Monitoring,Overall,Adds monitoring so recommendations can be updated later.,low,Consider Energy Monitoring Smart Plug from JB Hi-Fi for Chest Freezer. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,freezer,1.02615,0.92847,9.235384615384616,15.4,-86.9,Average,peak-hour usage,"Chest Freezer is classified as Average. It is 86.9% below the REFIT similar-appliance average, with 863 detected events and 31.5% peak-hour activity.",0.2375,0.4747,0.0517,0.2773,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Chest Freezer,Chest Freezer,freezer,Appliance2,0.13465,49.15,1.21,14.74,Harvey Norman,Low Energy Chest Freezer,Haier,499.0,210.0,5.25,0.0,0.0,0.0,,0.0,0.0,0.3338,0.0,0.0501,Premium,Energy Wise,Chest freezer style can reduce energy loss.,low,Consider Low Energy Chest Freezer from Harvey Norman for Chest Freezer. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,freezer,1.02615,0.92847,9.235384615384616,15.4,-86.9,Average,peak-hour usage,"Chest Freezer is classified as Average. It is 86.9% below the REFIT similar-appliance average, with 863 detected events and 31.5% peak-hour activity.",0.125,0.2216,0.0517,0.1929,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Chest Freezer,Chest Freezer,freezer,Appliance2,0.13465,49.15,1.21,14.74,The Good Guys,Efficient Upright Freezer,Westinghouse,849.0,250.0,6.25,0.0,0.0,0.0,,0.0,0.0,0.2275,0.0,0.0341,High,Best Value,Good for high continuous freezer loads.,low,Consider Efficient Upright Freezer from The Good Guys for Chest Freezer. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,freezer,1.02615,0.92847,9.235384615384616,15.4,-86.9,Average,peak-hour usage,"Chest Freezer is classified as Average. It is 86.9% below the REFIT similar-appliance average, with 863 detected events and 31.5% peak-hour activity.",0.1038,0.1738,0.0517,0.177,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Computer Site,Computer Site,computer,Appliance7,0.05419,19.78,0.49,5.93,Kmart,Smart Plug With Timer,Generic,19.0,80.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.9294,0.0,0.1394,Control,Cheapest,Low-cost way to reduce standby and schedule usage.,low,Consider Smart Plug With Timer from Kmart for Computer Site. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,computer,0.41818333333333335,0.179285,3.763888888888889,22.2,-87.0,Average,peak-hour usage,"Computer Site is classified as Average. It is 87.0% below the REFIT similar-appliance average, with 7 detected events and 25.4% peak-hour activity.",0.2509,0.4896,0.0619,0.2823,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Computer Site,Computer Site,computer,Appliance7,0.05419,19.78,0.49,5.93,Bunnings,Timer Plug / Standby Saver,Arlec,24.0,75.0,1.88,0.0,0.0,0.0,,0.0,0.0,0.9124,0.0,0.1369,Control,Best Value,Useful for appliance groups and plug loads.,low,Consider Timer Plug / Standby Saver from Bunnings for Computer Site. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,computer,0.41818333333333335,0.179285,3.763888888888889,22.2,-87.0,Average,peak-hour usage,"Computer Site is classified as Average. It is 87.0% below the REFIT similar-appliance average, with 7 detected events and 25.4% peak-hour activity.",0.2475,0.482,0.0619,0.2797,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Computer Site,Computer Site,computer,Appliance7,0.05419,19.78,0.49,5.93,JB Hi-Fi,Energy Monitoring Smart Plug,TP-Link Tapo,29.0,70.0,1.75,0.0,0.0,0.0,,0.0,0.0,0.8961,0.0,0.1344,Monitoring,Overall,Adds monitoring so recommendations can be updated later.,low,Consider Energy Monitoring Smart Plug from JB Hi-Fi for Computer Site. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,computer,0.41818333333333335,0.179285,3.763888888888889,22.2,-87.0,Average,peak-hour usage,"Computer Site is classified as Average. It is 87.0% below the REFIT similar-appliance average, with 7 detected events and 25.4% peak-hour activity.",0.2443,0.4747,0.0619,0.2773,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
1,Computer Site,Computer Site,computer,Appliance7,0.05419,19.78,0.49,5.93,Officeworks,Smart Standby Powerboard,Jackson,39.0,135.0,3.38,0.0,0.0,0.0,,0.0,0.0,0.8651,0.0,0.1298,Control,Best Value,"Reduces standby waste from monitors, printers and routers.",low,Consider Smart Standby Powerboard from Officeworks for Computer Site. Estimated saving: $0.00/month with about 0.0 kWh/year reduction.,computer,0.41818333333333335,0.179285,3.763888888888889,22.2,-87.0,Average,peak-hour usage,"Computer Site is classified as Average. It is 87.0% below the REFIT similar-appliance average, with 7 detected events and 25.4% peak-hour activity.",0.2381,0.4607,0.0619,0.2726,"Matched because this appliance is average, peak-hour usage, and the option balances price, energy reduction, savings and payback."
